+----------------+--------------------+
|      Word      |        IDF         |
+----------------+--------------------+
|    wearing     | 1.0049726894223412 |
|       is       |  1.01344250648236  |
|     black      | 1.0234892993712148 |
|      with      | 1.0652097389036914 |
|      and       | 1.1110644877406064 |
|      hair      | 1.1653304611702804 |
|     jacket     | 1.3502889508400069 |
|      also      | 1.4178997046035786 |
|      man       | 1.5971162800037022 |
|       in       | 1.606169449894578  |
|     shoes      | 1.6415799510932951 |
|       he       | 1.663119500921248  |
|     white      | 1.6907563854182985 |
|      blue      | 1.8375688450773582 |
|     pants      | 1.8930587314166452 |
|    carrying    | 1.9423667811449463 |
|      she       | 2.0004092662994903 |
|      his       | 2.0551302447353477 |
|     short      | 2.0644512176784096 |
|     jeans      | 2.0856611893343078 |
|     woman      | 2.086515598135431  |
|      grey      | 2.170834180792506  |
|     young      | 2.186675539388241  |
|     length     | 2.2130016660866474 |
|    backpack    | 2.2423344777635483 |
|     brown      | 2.250156418967676  |
|     hooded     | 2.2608852668206056 |
|      her       | 2.401609308172726  |
|       of       | 2.4376256025712912 |
|      the       | 2.5070088703153974 |
|      has       | 2.5376707146293045 |
|      pair      | 2.5636391373641905 |
|       on       | 2.650500262681988  |
|      coat      | 2.678688310125766  |
|     soles      | 2.6931643976130295 |
|      bag       | 2.6967770615594775 |
|     medium     | 2.7717448113138596 |
|     denim      | 2.808187838998396  |
|     boots      | 2.812418411146372  |
|    sneakers    | 2.815425932210328  |
|      long      | 2.8518723258398406 |
|    straight    | 2.8713552688490873 |
|      red       | 2.904888607034305  |
|      dark      | 2.9079935969148822 |
|      over      | 2.9256411137284606 |
|     puffer     | 2.9436056687037593 |
|      hand      | 2.9567837610843144 |
|   insulated    | 2.9709654806286254 |
|    shoulder    | 2.9882954894534737 |
|    thirties    | 3.0102275939350935 |
|      aged      | 3.061011132144972  |
|      hood      | 3.1061838381529747 |
|     middle     | 3.134788119790973  |
|    holding     | 3.1522525902423038 |
|     shirt      | 3.1574771325405253 |
|    twenties    | 3.216294956569399  |
|     hands      | 3.2712149811143676 |
|     paired     | 3.3511878197922425 |
|      fur       | 3.369520138875714  |
|       an       | 3.4295667594044543 |
|     green      | 3.4417560060239714 |
|    leggings    | 3.454095665683582  |
|    colored     | 3.456447422184935  |
|   shoulders    | 3.5001044665332346 |
|     fitted     | 3.522130223728722  |
|    running     | 3.5395219664405912 |
|    trousers    | 3.5457548005505615 |
|    ponytail    | 3.591662033520284  |
|     around     | 3.607575429685607  |
|     pocket     | 3.6158253291577487 |
|      pink      | 3.6177996634614664 |
|      mid       | 3.6209667286581673 |
|      tied      | 3.666807242568161  |
|      down      | 3.711806345362347  |
|     hoodie     | 3.7200906744071314 |
|      cut       | 3.7471613312188357 |
|     having     | 3.787084045102947  |
|     light      | 3.8160578125182334 |
|     bomber     | 3.8730744929584695 |
|      knee      | 3.9466331654554243 |
|     scarf      | 3.9582323012987763 |
|      sole      | 3.969967557517197  |
|    strapped    | 3.9767357728633357 |
|      neck      | 4.007189146025308  |
|    handbag     | 4.020107705016864  |
|     lining     | 4.020107705016864  |
