+--------------------+--------------------+
|        Word        |        IDF         |
+--------------------+--------------------+
|        and         | 1.0888184603647888 |
|      wearing       | 1.2483495833650964 |
|       black        | 1.4182507108788545 |
|       shirt        | 1.4234155612104682 |
|         is         | 1.5075576709466736 |
|        the         | 1.6895281555039103 |
|       white        | 1.6945720065536176 |
|        with        | 1.7483828378746078 |
|       shoes        | 1.773388067189727  |
|        man         | 1.8941457488886604 |
|       pants        | 1.938434377193106  |
|        has         | 2.119930882374536  |
|       woman        | 2.139005030137104  |
|        hair        | 2.161540411390127  |
|        blue        | 2.2907133335403653 |
|        dark        | 2.3397623359013497 |
|         of         | 2.3553514683193955 |
|         he         | 2.3629512877612573 |
|         on         | 2.3702625664077797 |
|       short        | 2.423238981143122  |
|        she         | 2.4456647607746165 |
|       shorts       | 2.503241073906919  |
|      carrying      | 2.5897725814118377 |
|        pair        | 2.6071213996543543 |
|         in         | 2.635641713706576  |
|        bag         | 2.715276407991613  |
|        long        | 2.7561595939083774 |
|        her         | 2.7860949756311304 |
|       brown        | 2.9004575606718723 |
|        his         | 2.9107211462788367 |
|        gray        | 2.9254103936654827 |
|       jeans        | 2.976841448805213  |
|        red         | 3.039713985285476  |
|       jacket       | 3.0920710494998804 |
|      shoulder      | 3.1383136231480946 |
|      backpack      | 3.1999585061931537 |
|       light        | 3.244380162881597  |
|        over        | 3.2567819103497477 |
|       wears        | 3.2670702119373063 |
|        also        | 3.269907495724647  |
|        grey        | 3.273322896796217  |
|        back        | 3.3142042896117587 |
|      colored       | 3.3689895193061514 |
|        this        | 3.4481176126871462 |
|      walking       | 3.4607608701194232 |
|      glasses       | 3.4781043502830205 |
|        hand        | 3.510462728985907  |
|        pink        | 3.5164437164573203 |
|      sleeved       | 3.5195388486505736 |
|      sneakers      | 3.520086044286662  |
|       right        | 3.525207694406717  |
|        top         | 3.542036570536874  |
|       dress        | 3.558774149802309  |
|        left        | 3.5856833267724753 |
|       green        | 3.6115357778952144 |
|       sleeve       | 3.6581890824340033 |
|         to         |  3.73840636197049  |
|      sandals       | 3.853497834754769  |
|       skirt        | 3.8798151430721424 |
|       yellow       | 3.9418296191776316 |
|        that        |  4.01450500291268  |
|       purse        | 4.025332176350986  |
|       tennis       | 4.030182140389439  |
|       person       | 4.040874162210347  |
|        tan         | 4.067326614794432  |
|       length       | 4.096444013365158  |
|         an         | 4.131129571353048  |
|       front        | 4.1402466360235515 |
|      holding       | 4.170901697010467  |
|       while        | 4.189970071375981  |
|      carries       | 4.218905182235434  |
|        down        | 4.2259020806020455 |
|       young        | 4.227381370812634  |
|      sleeves       | 4.2927591287876545 |
|         up         | 4.315537336380345  |
|        are         | 4.324469592276676  |
|         at         | 4.3334823529981845 |
|        lady        |  4.34507188669285  |
|        girl        | 4.395007586004473  |
|        pack        | 4.434736086703357  |
|       purple       | 4.440215552467983  |
|        jean        | 4.463844170861428  |
|       large        | 4.505975820855877  |
|        from        | 4.510877791456084  |
|         it         | 4.525230920810897  |
|        coat        | 4.546899695056318  |
|      sweater       |  4.57584228373236  |
|      looking       | 4.608894332858151  |
|      striped       | 4.618151137318684  |
|        side        | 4.620890114654115  |
|        arm         | 4.630813018565798  |
